Datetime,AEP_MW,temp_mean,load_lag_1,load_lag_2,load_lag_3,load_lag_7,day_of_week,is_weekend,target
2004-10-08,14350.333333333334,16.0,14449.416666666666,14424.791666666666,14439.708333333334,14284.521739130434,4,0,12934.541666666666
2004-10-09,12934.541666666666,17.2,14350.333333333334,14449.416666666666,14424.791666666666,12999.875,5,1,12260.375
2004-10-10,12260.375,12.5,12934.541666666666,14350.333333333334,14449.416666666666,12227.083333333334,6,1,14299.75
2004-10-11,14299.75,11.3,12260.375,12934.541666666666,14350.333333333334,14309.041666666666,0,0,14614.916666666666
2004-10-12,14614.916666666666,11.4,14299.75,12260.375,12934.541666666666,14439.708333333334,1,0,14454.416666666666
2004-10-13,14454.416666666666,12.0,14614.916666666666,14299.75,12260.375,14424.791666666666,2,0,14484.0
2004-10-14,14484.0,12.7,14454.416666666666,14614.916666666666,14299.75,14449.416666666666,3,0,14536.708333333334
2004-10-15,14536.708333333334,10.2,14484.0,14454.416666666666,14614.916666666666,14350.333333333334,4,0,13602.708333333334
2004-10-16,13602.708333333334,8.4,14536.708333333334,14484.0,14454.416666666666,12934.541666666666,5,1,13098.5
2004-10-17,13098.5,7.3,13602.708333333334,14536.708333333334,14484.0,12260.375,6,1,15425.666666666666
2004-10-18,15425.666666666666,6.0,13098.5,13602.708333333334,14536.708333333334,14299.75,0,0,14807.291666666666
2004-10-19,14807.291666666666,10.4,15425.666666666666,13098.5,13602.708333333334,14614.916666666666,1,0,14519.416666666666
2004-10-20,14519.416666666666,13.6,14807.291666666666,15425.666666666666,13098.5,14454.416666666666,2,0,14377.75
2004-10-21,14377.75,12.5,14519.416666666666,14807.291666666666,15425.666666666666,14484.0,3,0,14311.125
2004-10-22,14311.125,12.1,14377.75,14519.416666666666,14807.291666666666,14536.708333333334,4,0,13254.958333333334
2004-10-23,13254.958333333334,13.5,14311.125,14377.75,14519.416666666666,13602.708333333334,5,1,12438.666666666666
2004-10-24,12438.666666666666,15.6,13254.958333333334,14311.125,14377.75,13098.5,6,1,14476.625
2004-10-25,14476.625,13.1,12438.666666666666,13254.958333333334,14311.125,15425.666666666666,0,0,14653.791666666666
2004-10-26,14653.791666666666,13.3,14476.625,12438.666666666666,13254.958333333334,14807.291666666666,1,0,14448.833333333334
2004-10-27,14448.833333333334,14.5,14653.791666666666,14476.625,12438.666666666666,14519.416666666666,2,0,14327.666666666666
